woeid,location
23424977,United States
2352824,United States/Albuquerque
2357024,United States/Atlanta
2357536,United States/Austin
2358820,United States/Baltimore
2359991,United States/Baton Rouge
2364559,United States/Birmingham
2367105,United States/Boston
2378426,United States/Charlotte
2379574,United States/Chicago
2380358,United States/Cincinnati
2381475,United States/Cleveland
2383489,United States/Colorado Springs
2383660,United States/Columbus
2388929,United States/Dallas-Ft. Worth
2391279,United States/Denver
2391585,United States/Detroit
2397816,United States/El Paso
2407517,United States/Fresno
2414469,United States/Greensboro
2418046,United States/Harrisburg
2423945,United States/Honolulu
2424766,United States/Houston
2427032,United States/Indianapolis
2428184,United States/Jackson
2428344,United States/Jacksonville
2430683,United States/Kansas City
2436704,United States/Las Vegas
2441472,United States/Long Beach
2442047,United States/Los Angeles
2442327,United States/Louisville
2449323,United States/Memphis
2449808,United States/Mesa
2450022,United States/Miami
2451822,United States/Milwaukee
2452078,United States/Minneapolis
2457170,United States/Nashville
2458410,United States/New Haven
2458833,United States/New Orleans
2459115,United States/New York
2460389,United States/Norfolk
2464592,United States/Oklahoma City
2465512,United States/Omaha
2466256,United States/Orlando
2471217,United States/Philadelphia
2471390,United States/Phoenix
2473224,United States/Pittsburgh
2475687,United States/Portland
2477058,United States/Providence
2478307,United States/Raleigh
2480894,United States/Richmond
2486340,United States/Sacramento
2487610,United States/Salt Lake City
2487796,United States/San Antonio
2487889,United States/San Diego
2487956,United States/San Francisco
2488042,United States/San Jose
2490383,United States/Seattle
2486982,United States/St. Louis
2503713,United States/Tallahassee
2503863,United States/Tampa
2508428,United States/Tucson
2512636,United States/Virginia Beach
2514815,United States/Washington
